Number,Train_MSE,Train_CE,Test_MSE,Test_CE,model,penalty,indiv
0,0.0009841325851636003,0.07179999999999997,0.002418664557577931,0.07020000000000004,lasso,0.01,False
0,0.0008757373861897958,0.03369999999999995,0.002148676091484823,0.03620000000000001,RLS,1000,False
1,0.0010352088040926914,0.11243333333333339,0.0025358345521408355,0.11360000000000003,lasso,0.01,False
1,0.0012192100551712886,0.06301666666666672,0.002973824876480841,0.06120000000000003,RLS,1000,False
2,0.0009763921333227396,0.09233333333333338,0.002419238672455358,0.09509999999999996,lasso,0.01,False
2,0.0008239281376459734,0.04526666666666668,0.002038652602823867,0.04700000000000004,RLS,1000,False
3,0.0010018352320640132,0.10038333333333338,0.0024091803848077928,0.09830000000000005,lasso,0.01,False
3,0.0008652166381438073,0.04691666666666672,0.002086585964863921,0.04520000000000002,RLS,1000,False
4,0.001089138109876101,0.09736666666666671,0.0026791124522738256,0.09819999999999995,lasso,0.01,False
4,0.0011203935842195364,0.08053333333333335,0.0027783837370325875,0.0817,RLS,1000,False
5,0.0011472606372520209,0.09035000000000004,0.0027879234668490684,0.08919999999999995,lasso,0.01,False
5,0.0011901310206019796,0.0843166666666667,0.002888625641467218,0.08050000000000002,RLS,1000,False
6,0.0008953888561055099,0.08016666666666672,0.002169961165618633,0.07589999999999997,lasso,0.01,False
6,0.0007622558235396075,0.029449999999999976,0.00185586579060848,0.030100000000000016,RLS,1000,False
7,0.0011067988288605707,0.10265000000000002,0.0026976066209913043,0.10099999999999998,lasso,0.01,False
7,0.0010034552560769703,0.0547333333333333,0.002463914248287856,0.05459999999999998,RLS,1000,False
8,0.0010735729590584807,0.08706666666666663,0.002625833927281448,0.08660000000000001,lasso,0.01,False
8,0.0010344621914053008,0.045599999999999974,0.0025359323888270026,0.04359999999999997,RLS,1000,False
9,0.001084085862047808,0.09914999999999996,0.002659122052368338,0.10089999999999999,lasso,0.01,False
9,0.0009454844734538156,0.07120000000000004,0.002301097928265385,0.06830000000000003,RLS,1000,False
0,0.000855460727732535,0.09471551578595172,0.0020981195463830437,0.08163265306121514,lasso,0.001,True
1,0.0011635337719639613,0.14461584099675262,0.0028414965260377717,0.1480176211453833,lasso,0.001,True
2,0.0008349243262602671,0.21483719368913723,0.0020613200663581275,0.2286821705426344,lasso,0.001,True
3,0.0008779273999239697,0.17387049420971457,0.0021165559049936837,0.14752475247524688,lasso,0.001,True
4,0.0010926028666665387,0.2839780896952637,0.0027072291458715204,0.2729124236252607,lasso,0.001,True
5,0.001143274483183244,0.6063456926766368,0.0027697057512970787,0.6020179372197298,lasso,0.001,True
6,0.00075947685558697,0.08921933085506639,0.001854691364248061,0.09916492693111234,lasso,0.001,True
7,0.0010189955239433158,0.21723862729441878,0.002493921035394543,0.21595330739299878,lasso,0.001,True
8,0.0010585372540832998,0.07605537514958105,0.0025928823552156294,0.05954825462013302,lasso,0.001,True
9,0.0009449902507272789,0.17280215162216384,0.002296412729695689,0.1714568880079178,lasso,0.001,True
0,0.0008313629789463533,0.08272834712142407,0.0020390144956759716,0.062244897959174095,RLS,10000,True
1,0.001328920860130768,0.17947196677545263,0.003266553838324415,0.18149779735683647,RLS,10000,True
2,0.0008482905131108356,0.2010741859684252,0.0020909952995433346,0.20736434108527002,RLS,10000,True
3,0.0008895894335722833,0.16848801174355865,0.002142690890305682,0.14752475247524688,RLS,10000,True
4,0.0010755294011977768,0.2839780896952637,0.002660062966290636,0.26782077393075987,RLS,10000,True
5,0.001200907575166378,0.7107544733444,0.002915327344249295,0.7197309417040352,RLS,10000,True
6,0.0008320751302202854,0.08871240283884474,0.0019980027110034176,0.08663883089770952,RLS,10000,True
7,0.0010733720020807895,0.20031923383870998,0.0026218239082932858,0.2149805447470844,RLS,10000,True
8,0.0010454884319745297,0.05674243719025862,0.0025548879932030225,0.04004106776181704,RLS,10000,True
9,0.0009910199735297665,0.21062363422427388,0.0024134680684841227,0.20515361744300276,RLS,10000,True
0,0.0008988641967276113,0.03326666666666667,137592752.57194358,0.036699999999999955,RLS,0.0,False
1,0.0012820661654879032,0.06823333333333337,46233889.84750507,0.06589999999999996,RLS,0.0,False
2,0.0008032383645399237,0.04121666666666668,202258735.08363336,0.04490000000000005,RLS,0.0,False
3,0.0008723968603639088,0.04313333333333336,202921665.37623432,0.04190000000000005,RLS,0.0,False
4,0.0011997381369515437,0.08311666666666662,415272214.8317196,0.08840000000000003,RLS,0.0,False
5,0.0012129229944910875,0.08283333333333331,140021925.57028055,0.08130000000000004,RLS,0.0,False
6,0.0007330691586344825,0.028649999999999953,98768882.94755143,0.03090000000000004,RLS,0.0,False
7,0.001007587279646192,0.04954999999999998,86469266.647531,0.0524,RLS,0.0,False
8,0.001052949826843061,0.04791666666666672,228961487.60594112,0.04720000000000002,RLS,0.0,False
9,0.0009475790560573276,0.06474999999999997,250374773.78313375,0.062000000000000055,RLS,0.0,False
0,0.0008988641957411698,0.09876751646128501,137592752.57194328,0.08775510204080705,RLS,0.0,True
1,0.0012820657186499303,0.13349154553546538,46233889.8475046,0.1515418502202731,RLS,0.0,True
2,0.0008032383385528961,0.19335347432022087,202258735.08363348,0.23158914728682045,RLS,0.0,True
3,0.0008723968055914133,0.13961833306144966,202921665.37623286,0.12475247524752409,RLS,0.0,True
4,0.0011997381372148338,0.30212256076681965,415272214.8317201,0.28309572301426233,RLS,0.0,True
5,0.0012129229070959463,0.5748016971038674,140021925.5702808,0.5818385650224205,RLS,0.0,True
6,0.0007330691335028979,0.09428861101728292,98768882.94755217,0.10751565762004756,RLS,0.0,True
7,0.0010075870954206513,0.19505187549872516,86469266.64753129,0.19357976653696773,RLS,0.0,True
8,0.001052949792242313,0.0803281490343869,228961487.60594073,0.07392197125257638,RLS,0.0,True
9,0.0009475790941018902,0.16675071440582623,250374773.78313336,0.1674925668979078,RLS,0.0,True
