Number,Train_MSE,Train_CE,Test_MSE,Test_CE,model,penalty,indiv
0,0.0008554607277325368,0.03551666666666664,0.0020981195463830415,0.036599999999999966,lasso,0.001,False
0,0.0008313629789463492,0.03639999999999999,0.002039014495675965,0.039000000000000035,RLS,10000,False
1,0.0011635337719639583,0.05971666666666664,0.0028414965260377682,0.05700000000000005,lasso,0.001,False
1,0.0013289208601307652,0.10323333333333329,0.0032665538383244127,0.1038,RLS,10000,False
2,0.0008349243262602677,0.04903333333333337,0.002061320066358129,0.050799999999999956,lasso,0.001,False
2,0.000848290513110835,0.05283333333333329,0.002090995299543335,0.05479999999999996,RLS,10000,False
3,0.0008779273999239731,0.05018333333333336,0.0021165559049936837,0.047900000000000054,lasso,0.001,False
3,0.0008895894335722849,0.055883333333333285,0.0021426908903056804,0.05359999999999998,RLS,10000,False
4,0.0010926028666665406,0.08171666666666666,0.002707229145871517,0.0816,lasso,0.001,False
4,0.001075529401197774,0.08696666666666664,0.0026600629662906364,0.08730000000000004,RLS,10000,False
5,0.001143274483183243,0.08140000000000003,0.0027697057512970757,0.07779999999999998,lasso,0.001,False
5,0.0012009075751663776,0.09028333333333338,0.0029153273442492997,0.08809999999999996,RLS,10000,False
6,0.0007594768555869676,0.0325833333333333,0.0018546913642480617,0.03380000000000005,lasso,0.001,False
6,0.0008320751302202825,0.043683333333333296,0.0019980027110034163,0.04059999999999997,RLS,10000,False
7,0.0010189955239433151,0.05823333333333336,0.002493921035394544,0.05779999999999996,lasso,0.001,False
7,0.0010733720020807873,0.07030000000000003,0.002621823908293283,0.0685,RLS,10000,False
8,0.001058537254083296,0.04633333333333334,0.0025928823552156355,0.04520000000000002,lasso,0.001,False
8,0.0010454884319745336,0.04710000000000003,0.0025548879932030238,0.04400000000000004,RLS,10000,False
9,0.0009449902507272772,0.07466666666666666,0.0022964127296956887,0.07279999999999998,lasso,0.001,False
9,0.0009910199735297673,0.09191666666666665,0.002413468068484127,0.09089999999999998,RLS,10000,False
0,0.000984132585163597,0.1408070234678679,0.00241866455757793,0.14387755102039956,lasso,0.01,True
1,0.0010352088040926893,0.09715218036192708,0.0025358345521408372,0.09427312775331376,lasso,0.01,True
2,0.0009763921333227426,0.27979187646859527,0.0024192386724553585,0.2906976744186035,lasso,0.01,True
3,0.0010018352320640162,0.23943891697925024,0.002409180384807798,0.21584158415841526,lasso,0.01,True
4,0.0010891381098760992,0.32232112290308,0.0026791124522738217,0.31059063136456677,lasso,0.01,True
5,0.0011472606372520113,0.8551927688618337,0.00278792346684907,0.8632286995515692,lasso,0.01,True
6,0.000895388856105515,0.10865157147689641,0.0021699611656186336,0.10229645093946305,lasso,0.01,True
7,0.0011067988288605655,0.24229848363919504,0.002697606620991302,0.2607003891050609,lasso,0.01,True
8,0.0010735729590584779,0.1015211075030239,0.0026258339272814497,0.08110882956879806,lasso,0.01,True
9,0.0010840858620478067,0.3134980669020132,0.002659122052368334,0.28543111992070513,lasso,0.01,True
0,0.0008757373861898008,0.0871180145197018,0.00214867609148485,0.06938775510203132,RLS,1000.0,True
1,0.0012192100551711798,0.1385345594779156,0.002973824876480556,0.1462555066079384,RLS,1000.0,True
2,0.0008239281376459819,0.20090634441085553,0.002038652602823883,0.21317829457364212,RLS,1000.0,True
3,0.0008652166381438094,0.16000652422113115,0.0020865859648639437,0.14257425742574192,RLS,1000.0,True
4,0.0011203935842195546,0.2728517630947813,0.002778383737032599,0.2525458248472574,RLS,1000.0,True
5,0.0011901310206019486,0.59417081719241,0.002888625641467138,0.5829596412556043,RLS,1000.0,True
6,0.0007622558235396113,0.07840486650900447,0.0018558657906085215,0.08872651356994332,RLS,1000.0,True
7,0.0010034552560769718,0.19138068635267513,0.002463914248287868,0.19649805447471091,RLS,1000.0,True
8,0.0010344621914052917,0.0722953341309519,0.002535932388826972,0.0626283367556566,RLS,1000.0,True
9,0.0009454844734538036,0.154647839973151,0.0023010979282653706,0.16352824578789782,RLS,1000.0,True
