Number,Train_MSE,Train_CE,Test_MSE,Test_CE,model,penalty,indiv
0,0.07179999999999997,0.0009841325851636003,0.0009841325851636003,0.07020000000000004,0.002418664557577931,0.01,False
0,0.03369999999999995,0.0008757373861897958,0.0008757373861897958,0.03620000000000001,0.002148676091484823,1000,False
1,0.11243333333333339,0.0010352088040926914,0.0010352088040926914,0.11360000000000003,0.0025358345521408355,0.01,False
1,0.06301666666666672,0.0012192100551712886,0.0012192100551712886,0.06120000000000003,0.002973824876480841,1000,False
2,0.09233333333333338,0.0009763921333227396,0.0009763921333227396,0.09509999999999996,0.002419238672455358,0.01,False
2,0.04526666666666668,0.0008239281376459734,0.0008239281376459734,0.04700000000000004,0.002038652602823867,1000,False
3,0.10038333333333338,0.0010018352320640132,0.0010018352320640132,0.09830000000000005,0.0024091803848077928,0.01,False
3,0.04691666666666672,0.0008652166381438073,0.0008652166381438073,0.04520000000000002,0.002086585964863921,1000,False
4,0.09736666666666671,0.001089138109876101,0.001089138109876101,0.09819999999999995,0.0026791124522738256,0.01,False
4,0.08053333333333335,0.0011203935842195364,0.0011203935842195364,0.0817,0.0027783837370325875,1000,False
5,0.09035000000000004,0.0011472606372520209,0.0011472606372520209,0.08919999999999995,0.0027879234668490684,0.01,False
5,0.0843166666666667,0.0011901310206019796,0.0011901310206019796,0.08050000000000002,0.002888625641467218,1000,False
6,0.08016666666666672,0.0008953888561055099,0.0008953888561055099,0.07589999999999997,0.002169961165618633,0.01,False
6,0.029449999999999976,0.0007622558235396075,0.0007622558235396075,0.030100000000000016,0.00185586579060848,1000,False
7,0.10265000000000002,0.0011067988288605707,0.0011067988288605707,0.10099999999999998,0.0026976066209913043,0.01,False
7,0.0547333333333333,0.0010034552560769703,0.0010034552560769703,0.05459999999999998,0.002463914248287856,1000,False
8,0.08706666666666663,0.0010735729590584807,0.0010735729590584807,0.08660000000000001,0.002625833927281448,0.01,False
8,0.045599999999999974,0.0010344621914053008,0.0010344621914053008,0.04359999999999997,0.0025359323888270026,1000,False
9,0.09914999999999996,0.001084085862047808,0.001084085862047808,0.10089999999999999,0.002659122052368338,0.01,False
9,0.07120000000000004,0.0009454844734538156,0.0009454844734538156,0.06830000000000003,0.002301097928265385,1000,False
0,0.9049666666666667,0.004128041158574084,0.004128041158574084,0.9045,0.010085435104739136,0.001,True
1,0.8965833333333333,0.004371039666232517,0.004371039666232517,0.8972,0.010765635944397946,0.001,True
2,0.9118833333333334,0.004110723348195127,0.004110723348195127,0.9115,0.010275790834922185,0.001,True
3,0.89055,0.004163164873148746,0.004163164873148746,0.891,0.010145418941496377,0.001,True
4,0.9248,0.004063745031808323,0.004063745031808323,0.923,0.01000324697868228,0.001,True
5,0.9623666666666667,0.003872512184238413,0.003872512184238413,0.9631,0.009432706827543113,0.001,True
6,0.8992833333333333,0.004103311419774427,0.004103311419774427,0.9031,0.009907818833784485,0.001,True
7,0.9133,0.004203486953667864,0.004203486953667864,0.9136,0.010223738117981293,0.001,True
8,0.8060333333333334,0.004082409027946591,0.004082409027946591,0.7991,0.010001928586483348,0.001,True
9,0.8902333333333333,0.0040881904386369395,0.0040881904386369395,0.8939,0.010111150168905072,0.001,True
0,0.9024333333333333,0.004154813018803114,0.004154813018803114,0.9017,0.010146415213816193,10000,True
1,0.90345,0.004387352271007354,0.004387352271007354,0.9039,0.010805546599954247,10000,True
2,0.90935,0.004155203846838864,0.004155203846838864,0.9077,0.010384703502351818,10000,True
3,0.8878833333333334,0.004205420717094645,0.004205420717094645,0.8898,0.010246788721255375,10000,True
4,0.9253333333333333,0.004084276729235391,0.004084276729235391,0.9227,0.010049786438910437,10000,True
5,0.9730666666666666,0.003919720603198645,0.003919720603198645,0.9747,0.009547511800182071,10000,True
6,0.9003833333333333,0.004139913465655157,0.004139913465655157,0.9028,0.010002750962045169,10000,True
7,0.9126333333333333,0.004234186539466338,0.004234186539466338,0.9161,0.01029522271895565,10000,True
8,0.7848333333333333,0.004116651404614273,0.004116651404614273,0.7792,0.010085314264870112,10000,True
9,0.9006333333333333,0.004117981318059507,0.004117981318059507,0.9014,0.010183734667276031,10000,True
0,0.03326666666666667,0.0008988641967276113,0.0008988641967276113,0.036699999999999955,137592752.57194358,0.0,False
1,0.06823333333333337,0.0012820661654879032,0.0012820661654879032,0.06589999999999996,46233889.84750507,0.0,False
2,0.04121666666666668,0.0008032383645399237,0.0008032383645399237,0.04490000000000005,202258735.08363336,0.0,False
3,0.04313333333333336,0.0008723968603639088,0.0008723968603639088,0.04190000000000005,202921665.37623432,0.0,False
4,0.08311666666666662,0.0011997381369515437,0.0011997381369515437,0.08840000000000003,415272214.8317196,0.0,False
5,0.08283333333333331,0.0012129229944910875,0.0012129229944910875,0.08130000000000004,140021925.57028055,0.0,False
