Number,Train_MSE,Train_CE,Test_MSE,Test_CE,model,penalty,indiv
0,0.0010508058012094971,0.08626666666666671,0.002581411986050427,0.08650000000000002,lasso,0.01,False
0,0.0008577602127661872,0.03234999999999999,0.0021068486536941116,0.03369999999999995,RLS,1000,False
1,0.0009729780736422953,0.11236666666666661,0.002373990144663559,0.11350000000000005,lasso,0.01,False
1,0.00116825404051133,0.06026666666666669,0.0028471906223025206,0.057499999999999996,RLS,1000,False
2,0.0009905605730336708,0.09596666666666664,0.0024569411702009447,0.09919999999999995,lasso,0.01,False
2,0.000820648643494034,0.04578333333333329,0.0020312309061549837,0.047599999999999976,RLS,1000,False
3,0.0010231615447894155,0.10218333333333329,0.002461763812180213,0.10099999999999998,lasso,0.01,False
3,0.0008621103183601896,0.04541666666666666,0.0020794782124805224,0.04400000000000004,RLS,1000,False
4,0.0011119222872565996,0.09736666666666671,0.0027340183409122437,0.09819999999999995,lasso,0.01,False
4,0.0011723165757801899,0.08763333333333334,0.002909530880987989,0.08950000000000002,RLS,1000,False
5,0.0011385806008203708,0.09035000000000004,0.002765175333550409,0.08919999999999995,lasso,0.01,False
5,0.00121452206715666,0.0860333333333333,0.0029513959802018323,0.0827,RLS,1000,False
6,0.0009036040523666925,0.08496666666666663,0.0021968253053545484,0.08240000000000003,lasso,0.01,False
6,0.0007894686826834615,0.03248333333333331,0.001918577985042104,0.032299999999999995,RLS,1000,False
7,0.001136032691330777,0.10441666666666671,0.0027741715378812107,0.1028,lasso,0.01,False
7,0.0009860542412620324,0.05589999999999995,0.0024183607802992736,0.055499999999999994,RLS,1000,False
8,0.001067964920890767,0.09488333333333332,0.0026100705989809936,0.09540000000000004,lasso,0.01,False
8,0.001025039081260338,0.045399999999999996,0.0025111669293338573,0.04310000000000003,RLS,1000,False
9,0.0010870500175397008,0.09914999999999996,0.0026676057065685922,0.10089999999999999,lasso,0.01,False
9,0.0009411908844593064,0.07336666666666669,0.002288811513322193,0.07089999999999996,RLS,1000,False
0,0.0009524047549992006,0.1359108559851735,0.0023307327160436847,0.12448979591835851,lasso,0.001,True
1,0.0010515905838551776,0.1340848412934007,0.002555183911631921,0.14008810572688124,lasso,0.001,True
2,0.0008609481140384802,0.25276938569988017,0.002135250311836314,0.26065891472868097,lasso,0.001,True
3,0.0008874585048431466,0.1893655194910725,0.0021393491752375016,0.16039603960395976,lasso,0.001,True
4,0.0010908392494204527,0.32848339609719335,0.0027020327282049343,0.3126272912423671,lasso,0.001,True
5,0.0011184017449342087,0.6170448256779271,0.0027066667488251364,0.6221973094170394,lasso,0.001,True
6,0.0007258331327229803,0.08093950659011273,0.0017938548515988068,0.09185803757829403,lasso,0.001,True
7,0.0009953075572442652,0.2627294493215604,0.0024324121025502956,0.26459143968871845,lasso,0.001,True
8,0.0010649711911440058,0.08494274482997721,0.002608139652143306,0.07186858316222733,lasso,0.001,True
9,0.0009483371834797793,0.134476382585359,0.0022977879804931952,0.13082259663031537,lasso,0.001,True
0,0.0008298151552255874,0.08475434745909072,0.002035460927861835,0.06734693877550069,RLS,10000,True
1,0.0013148610994842523,0.18110353010977476,0.003231631172478874,0.18237885462555892,RLS,10000,True
2,0.000860942038255793,0.21466935213156757,0.002124514368976398,0.22577519379844835,RLS,10000,True
3,0.0008916444361394876,0.16979285597777827,0.002146926185964823,0.15247524752475183,RLS,10000,True
4,0.0010679334283049881,0.2843204382060478,0.00264211408480022,0.27087576374746036,RLS,10000,True
5,0.0012006565585665888,0.7172108467072476,0.0029157302414636725,0.7219730941704029,RLS,10000,True
6,0.00081399440024313,0.08229131463337047,0.001957269687859178,0.08350730688935881,RLS,10000,True
7,0.0010723520855567216,0.19952114924174258,0.0026173098819774416,0.20719844357976924,RLS,10000,True
8,0.001050353949008983,0.05708425910104309,0.0025660702627990375,0.041067761806991565,RLS,10000,True
9,0.0009864431250471107,0.20843839300726308,0.0023995680101190717,0.19821605550048527,RLS,10000,True
0,5980658.129087829,0.09875,137592752.57193378,0.09809999999999997,RLS,0.0,False
1,11834733.691641165,0.11241666666666672,37402079.10194301,0.11360000000000003,RLS,0.0,False
2,12049036.372336794,0.09933333333333338,214046339.1226285,0.10329999999999995,RLS,0.0,False
3,3010285.7520695394,0.10219999999999996,215951008.24512118,0.10099999999999998,RLS,0.0,False
4,17674640.556241237,0.09740000000000004,415272214.83175284,0.09830000000000005,RLS,0.0,False
5,12689163.0954629,0.09038333333333337,134611528.12410533,0.08930000000000005,RLS,0.0,False
6,12773739.757707318,0.09865000000000002,89674381.00328606,0.09589999999999999,RLS,0.0,False
7,11568225.79526403,0.10443333333333338,78701322.35312101,0.10289999999999999,RLS,0.0,False
8,7559769.574454635,0.09755000000000003,228961487.60595,0.09750000000000003,RLS,0.0,False
9,5082329.651731391,0.09916666666666663,250374773.78312382,0.10099999999999998,RLS,0.0,False
0,5980658.12908783,0.00016883336150830264,137592752.57193354,-1.021405182655144e-14,RLS,0.0,True
1,11834733.691641137,1.0,37402079.101942204,1.0,RLS,0.0,True
2,12049036.372336837,1.0,214046339.12262934,1.0,RLS,0.0,True
3,3010285.752069528,1.0,215951008.24511996,1.0,RLS,0.0,True
4,17674640.556241248,1.0,415272214.8317533,1.0,RLS,0.0,True
5,12689163.095462877,1.0,134611528.1241054,1.0,RLS,0.0,True
6,12773739.75770732,1.0,89674381.00328651,1.0,RLS,0.0,True
7,11568225.795264017,1.0,78701322.35312137,1.0,RLS,0.0,True
8,7559769.574454612,1.0,228961487.60594955,1.0,RLS,0.0,True
