Number,Train_MSE,Train_CE,Test_MSE,Test_CE,model,penalty,indiv
0,0.000952404754999197,0.046666666666666634,0.0023307327160436864,0.047900000000000054,lasso,0.001,False
0,0.0008298151552255887,0.03688333333333338,0.002035460927861836,0.038799999999999946,RLS,10000,False
1,0.0010515905838551836,0.055816666666666626,0.0025551839116319214,0.053200000000000025,lasso,0.001,False
1,0.0013148610994842477,0.10328333333333328,0.003231631172478862,0.10399999999999998,RLS,10000,False
2,0.0008609481140384765,0.05730000000000002,0.0021352503118363163,0.05930000000000002,lasso,0.001,False
2,0.0008609420382557881,0.05521666666666669,0.0021245143689763994,0.056400000000000006,RLS,10000,False
3,0.0008874585048431453,0.056333333333333346,0.002139349175237501,0.05449999999999999,lasso,0.001,False
3,0.0008916444361394859,0.05683333333333329,0.002146926185964819,0.055300000000000016,RLS,10000,False
4,0.0010908392494204577,0.0867,0.002702032728204935,0.08679999999999999,lasso,0.001,False
4,0.0010679334283049892,0.08716666666666661,0.002642114084800223,0.08740000000000003,RLS,10000,False
5,0.0011184017449342115,0.08209999999999995,0.0027066667488251385,0.07899999999999996,lasso,0.001,False
5,0.0012006565585665904,0.09038333333333337,0.0029157302414636803,0.08840000000000003,RLS,10000,False
6,0.0007258331327229806,0.03310000000000002,0.0017938548515988092,0.03480000000000005,lasso,0.001,False
6,0.0008139944002431324,0.041716666666666624,0.0019572696878591813,0.03859999999999997,RLS,10000,False
7,0.0009953075572442657,0.06408333333333338,0.0024324121025502956,0.06430000000000002,lasso,0.001,False
7,0.0010723520855567205,0.07051666666666667,0.0026173098819774372,0.06920000000000004,RLS,10000,False
8,0.0010649711911440017,0.04644999999999999,0.0026081396521433027,0.04569999999999996,lasso,0.001,False
8,0.0010503539490089805,0.04720000000000002,0.002566070262799036,0.04400000000000004,RLS,10000,False
9,0.0009483371834797754,0.0706,0.0022977879804932,0.06679999999999997,lasso,0.001,False
9,0.0009864431250471131,0.09153333333333336,0.002399568010119073,0.0907,RLS,10000,False
0,0.0010508058012095023,0.17356069559347864,0.0025814119860504293,0.1897959183673389,lasso,0.01,True
1,0.0009729780736422945,0.0778700682290292,0.0023739901446635566,0.07665198237886472,lasso,0.01,True
2,0.0009905605730336732,0.29741524001340947,0.00245694117020094,0.3062015503875958,lasso,0.01,True
3,0.0010231615447894161,0.2769531887130642,0.0024617638121802103,0.24950495049504895,lasso,0.01,True
4,0.0011119222872565965,0.36374529270795297,0.0027340183409122437,0.3604887983706748,lasso,0.01,True
5,0.0011385806008203756,0.8371149234458579,0.002765175333550413,0.8475336322869952,lasso,0.01,True
6,0.0009036040523666943,0.10037174721194275,0.0021968253053545467,0.10334029227557995,lasso,0.01,True
7,0.0011360326913307686,0.2806065442936301,0.0027741715378812115,0.29669260700389344,lasso,0.01,True
8,0.001067964920890764,0.1206631345069541,0.002610070598980991,0.10574948665298667,lasso,0.01,True
9,0.001087050017539701,0.24020843839303552,0.0026676057065685983,0.22398414271555023,lasso,0.01,True
0,0.0008577602127670281,0.08272834712142407,0.002106848653696159,0.06632653061223537,RLS,1000.0,True
1,0.0011682540405113112,0.13482646099081985,0.0028471906223024313,0.1444933920704935,RLS,1000.0,True
2,0.0008206486434941458,0.19553541456862644,0.0020312309061552357,0.21414728682170414,RLS,1000.0,True
3,0.0008621103183602058,0.14842603164243207,0.0020794782124805545,0.12772277227722706,RLS,1000.0,True
4,0.0011723165757801114,0.29236562820947354,0.002909530880987744,0.2759674134419612,RLS,1000.0,True
5,0.0012145220671565136,0.6063456926766368,0.002951395980201437,0.5952914798206268,RLS,1000.0,True
6,0.0007894686826835144,0.08769854680640143,0.001918577985042285,0.09394572025052783,RLS,1000.0,True
7,0.0009860542412611945,0.19569034317629908,0.0024183607802972084,0.19649805447471091,RLS,1000.0,True
8,0.0010250390812605893,0.07759357374811116,0.002511166929334518,0.0667351129363547,RLS,1000.0,True
9,0.0009411908844593231,0.1501092620608978,0.002288811513322228,0.15460852329037533,RLS,1000.0,True
